Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Hourly,upd_salary,Company text,job_state
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",10000+ Employees,-1,0,88925.0,Bank of America, NC
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",5001 to 10000 Employees,-1,0,90000.0,Copart, TX
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",51 to 200 Employees,Company - Private,0,73990.0,Interclypse Inc, MD
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",1001 to 5000 Employees,-1,0,71210.0,Nemours, FL
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",10000+ Employees,-1,0,88300.0,Aptiv, MI
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",201 to 500 Employees,Company - Private,0,237000.0,InMarket, TX
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",501 to 1000 Employees,Company - Private,0,97931.0,Radiance Technologies Inc., OH
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",1001 to 5000 Employees,-1,0,150518.0,Snowflake, CA
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",1 to 50 Employees,Company - Private,0,101835.0,KUNGFU.AI, TX
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",201 to 500 Employees,Company - Private,0,91036.0,"BEN Group, Inc", UT
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,51 to 200 Employees,Company - Private,0,110000.0,Super Dispatch,Remote
Data Scientist,$65.71 /hr (est.),-1.0,Biometric Health,"Jackson, MS",Unknown,-1,1,65.71,Biometric Health, MS
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,1001 to 5000 Employees,Company - Private,0,96225.0,"Vizient, Inc.",Remote
Entry level Data Science Engineer-333338,"$62,500 /yr (est.)",4.2,"I28 Technologies
4.2","Marysville, MI",1 to 50 Employees,Company - Private,0,62500.0,I28 Technologies, MI
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,1 to 50 Employees,-1,1,47.5,Archon Resources,Remote
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",201 to 500 Employees,Company - Private,0,114296.0,Locus Robotics, MA
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",10000+ Employees,-1,0,124950.0,Starbucks, WA
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",1001 to 5000 Employees,-1,0,101603.0,Activision, CA
"Data Scientist, CV/NLP","$129,500 /yr (est.)",3.7,"Ancestry
3.7",Remote,1001 to 5000 Employees,Company - Private,0,129500.0,Ancestry,Remote
Data Scientist,"$101,043 /yr (est.)",4.2,"Harmonia Holdings Group, LLC
4.2","McLean, VA",201 to 500 Employees,Company - Private,0,101043.0,"Harmonia Holdings Group, LLC", VA
Quantitative Researcher,"$200,000 /yr (est.)",3.9,"Belvedere Trading
3.9","New York, NY",201 to 500 Employees,Company - Private,0,200000.0,Belvedere Trading, NY
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",10000+ Employees,-1,1,29.0,Johnson & Johnson, NJ
Data Scientist,"$91,000 /yr (est.)",3.8,"Premier Inc.
3.8",Remote,1001 to 5000 Employees,-1,0,91000.0,Premier Inc.,Remote
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",10000+ Employees,-1,0,88925.0,Bank of America, NC
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",5001 to 10000 Employees,-1,0,90000.0,Copart, TX
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",51 to 200 Employees,Company - Private,0,73990.0,Interclypse Inc, MD
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",1001 to 5000 Employees,-1,0,71210.0,Nemours, FL
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",10000+ Employees,-1,0,88300.0,Aptiv, MI
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",201 to 500 Employees,Company - Private,0,237000.0,InMarket, TX
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",501 to 1000 Employees,Company - Private,0,97931.0,Radiance Technologies Inc., OH
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",1001 to 5000 Employees,-1,0,150518.0,Snowflake, CA
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",1 to 50 Employees,Company - Private,0,101835.0,KUNGFU.AI, TX
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",201 to 500 Employees,Company - Private,0,91036.0,"BEN Group, Inc", UT
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,51 to 200 Employees,Company - Private,0,110000.0,Super Dispatch,Remote
Data Scientist,$65.71 /hr (est.),-1.0,Biometric Health,"Jackson, MS",Unknown,-1,1,65.71,Biometric Health, MS
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,1001 to 5000 Employees,Company - Private,0,96225.0,"Vizient, Inc.",Remote
Entry level Data Science Engineer-333338,"$62,500 /yr (est.)",4.2,"I28 Technologies
4.2","Marysville, MI",1 to 50 Employees,Company - Private,0,62500.0,I28 Technologies, MI
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,1 to 50 Employees,-1,1,47.5,Archon Resources,Remote
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",201 to 500 Employees,Company - Private,0,114296.0,Locus Robotics, MA
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",10000+ Employees,-1,0,124950.0,Starbucks, WA
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",1001 to 5000 Employees,-1,0,101603.0,Activision, CA
"Data Scientist, CV/NLP","$129,500 /yr (est.)",3.7,"Ancestry
3.7",Remote,1001 to 5000 Employees,Company - Private,0,129500.0,Ancestry,Remote
Data Scientist,"$101,043 /yr (est.)",4.2,"Harmonia Holdings Group, LLC
4.2","McLean, VA",201 to 500 Employees,Company - Private,0,101043.0,"Harmonia Holdings Group, LLC", VA
Quantitative Researcher,"$200,000 /yr (est.)",3.9,"Belvedere Trading
3.9","New York, NY",201 to 500 Employees,Company - Private,0,200000.0,Belvedere Trading, NY
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",10000+ Employees,-1,1,29.0,Johnson & Johnson, NJ
Data Scientist,"$91,000 /yr (est.)",3.8,"Premier Inc.
3.8",Remote,1001 to 5000 Employees,-1,0,91000.0,Premier Inc.,Remote
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",10000+ Employees,-1,0,88925.0,Bank of America, NC
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",5001 to 10000 Employees,-1,0,90000.0,Copart, TX
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",51 to 200 Employees,Company - Private,0,73990.0,Interclypse Inc, MD
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",1001 to 5000 Employees,-1,0,71210.0,Nemours, FL
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",10000+ Employees,-1,0,88300.0,Aptiv, MI
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",201 to 500 Employees,Company - Private,0,237000.0,InMarket, TX
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",501 to 1000 Employees,Company - Private,0,97931.0,Radiance Technologies Inc., OH
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",1001 to 5000 Employees,-1,0,150518.0,Snowflake, CA
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",1 to 50 Employees,Company - Private,0,101835.0,KUNGFU.AI, TX
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",201 to 500 Employees,Company - Private,0,91036.0,"BEN Group, Inc", UT
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,51 to 200 Employees,Company - Private,0,110000.0,Super Dispatch,Remote
Data Scientist,$65.71 /hr (est.),-1.0,Biometric Health,"Jackson, MS",Unknown,-1,1,65.71,Biometric Health, MS
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,1001 to 5000 Employees,Company - Private,0,96225.0,"Vizient, Inc.",Remote
Entry level Data Science Engineer-333338,"$62,500 /yr (est.)",4.2,"I28 Technologies
4.2","Marysville, MI",1 to 50 Employees,Company - Private,0,62500.0,I28 Technologies, MI
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,1 to 50 Employees,-1,1,47.5,Archon Resources,Remote
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",201 to 500 Employees,Company - Private,0,114296.0,Locus Robotics, MA
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",10000+ Employees,-1,0,124950.0,Starbucks, WA
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",1001 to 5000 Employees,-1,0,101603.0,Activision, CA
"Data Scientist, CV/NLP","$129,500 /yr (est.)",3.7,"Ancestry
3.7",Remote,1001 to 5000 Employees,Company - Private,0,129500.0,Ancestry,Remote
Data Scientist,"$101,043 /yr (est.)",4.2,"Harmonia Holdings Group, LLC
4.2","McLean, VA",201 to 500 Employees,Company - Private,0,101043.0,"Harmonia Holdings Group, LLC", VA
Quantitative Researcher,"$200,000 /yr (est.)",3.9,"Belvedere Trading
3.9","New York, NY",201 to 500 Employees,Company - Private,0,200000.0,Belvedere Trading, NY
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",10000+ Employees,-1,1,29.0,Johnson & Johnson, NJ
Data Scientist,"$91,000 /yr (est.)",3.8,"Premier Inc.
3.8",Remote,1001 to 5000 Employees,-1,0,91000.0,Premier Inc.,Remote
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",10000+ Employees,-1,0,88925.0,Bank of America, NC
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",5001 to 10000 Employees,-1,0,90000.0,Copart, TX
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",51 to 200 Employees,Company - Private,0,73990.0,Interclypse Inc, MD
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",1001 to 5000 Employees,-1,0,71210.0,Nemours, FL
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",10000+ Employees,-1,0,88300.0,Aptiv, MI
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",201 to 500 Employees,Company - Private,0,237000.0,InMarket, TX
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",501 to 1000 Employees,Company - Private,0,97931.0,Radiance Technologies Inc., OH
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",1001 to 5000 Employees,-1,0,150518.0,Snowflake, CA
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",1 to 50 Employees,Company - Private,0,101835.0,KUNGFU.AI, TX
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",201 to 500 Employees,Company - Private,0,91036.0,"BEN Group, Inc", UT
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,51 to 200 Employees,Company - Private,0,110000.0,Super Dispatch,Remote
Data Scientist,$65.71 /hr (est.),-1.0,Biometric Health,,Unknown,-1,1,65.71,Biometric Health,
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,1001 to 5000 Employees,Company - Private,0,96225.0,"Vizient, Inc.",Remote
Entry level Data Science Engineer-333338,"$62,500 /yr (est.)",4.2,"I28 Technologies
4.2","Marysville, MI",1 to 50 Employees,Company - Private,0,62500.0,I28 Technologies, MI
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,1 to 50 Employees,-1,1,47.5,Archon Resources,Remote
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",201 to 500 Employees,Company - Private,0,114296.0,Locus Robotics, MA
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",10000+ Employees,-1,0,124950.0,Starbucks, WA
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",1001 to 5000 Employees,-1,0,101603.0,Activision, CA
"Data Scientist, CV/NLP","$129,500 /yr (est.)",3.7,"Ancestry
3.7",Remote,1001 to 5000 Employees,Company - Private,0,129500.0,Ancestry,Remote
Data Scientist,"$101,043 /yr (est.)",4.2,"Harmonia Holdings Group, LLC
4.2","McLean, VA",201 to 500 Employees,Company - Private,0,101043.0,"Harmonia Holdings Group, LLC", VA
Quantitative Researcher,"$200,000 /yr (est.)",3.9,"Belvedere Trading
3.9","New York, NY",201 to 500 Employees,Company - Private,0,200000.0,Belvedere Trading, NY
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",10000+ Employees,-1,1,29.0,Johnson & Johnson, NJ
Data Scientist,"$91,000 /yr (est.)",3.8,"Premier Inc.
3.8",Remote,1001 to 5000 Employees,-1,0,91000.0,Premier Inc.,Remote
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",10000+ Employees,-1,0,88925.0,Bank of America, NC
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",5001 to 10000 Employees,-1,0,90000.0,Copart, TX
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",51 to 200 Employees,Company - Private,0,73990.0,Interclypse Inc, MD
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",1001 to 5000 Employees,-1,0,71210.0,Nemours, FL
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",10000+ Employees,-1,0,88300.0,Aptiv, MI
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",201 to 500 Employees,Company - Private,0,237000.0,InMarket, TX
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",501 to 1000 Employees,Company - Private,0,97931.0,Radiance Technologies Inc., OH
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",1001 to 5000 Employees,-1,0,150518.0,Snowflake, CA
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",1 to 50 Employees,Company - Private,0,101835.0,KUNGFU.AI, TX
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",201 to 500 Employees,Company - Private,0,91036.0,"BEN Group, Inc", UT
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,51 to 200 Employees,Company - Private,0,110000.0,Super Dispatch,Remote
Data Scientist,$65.71 /hr (est.),-1.0,Biometric Health,"Jackson, MS",Unknown,-1,1,65.71,Biometric Health, MS
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,1001 to 5000 Employees,Company - Private,0,96225.0,"Vizient, Inc.",Remote
Entry level Data Science Engineer-333338,"$62,500 /yr (est.)",4.2,"I28 Technologies
4.2","Marysville, MI",1 to 50 Employees,Company - Private,0,62500.0,I28 Technologies, MI
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,1 to 50 Employees,-1,1,47.5,Archon Resources,Remote
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",201 to 500 Employees,Company - Private,0,114296.0,Locus Robotics, MA
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",10000+ Employees,-1,0,124950.0,Starbucks, WA
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",1001 to 5000 Employees,-1,0,101603.0,Activision, CA
"Data Scientist, CV/NLP","$129,500 /yr (est.)",3.7,"Ancestry
3.7",Remote,1001 to 5000 Employees,Company - Private,0,129500.0,Ancestry,Remote
Data Scientist,"$101,043 /yr (est.)",4.2,"Harmonia Holdings Group, LLC
4.2","McLean, VA",201 to 500 Employees,Company - Private,0,101043.0,"Harmonia Holdings Group, LLC", VA
Quantitative Researcher,"$200,000 /yr (est.)",3.9,"Belvedere Trading
3.9","New York, NY",201 to 500 Employees,Company - Private,0,200000.0,Belvedere Trading, NY
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",10000+ Employees,-1,1,29.0,Johnson & Johnson, NJ
Data Scientist,"$91,000 /yr (est.)",3.8,"Premier Inc.
3.8",Remote,1001 to 5000 Employees,-1,0,91000.0,Premier Inc.,Remote
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",10000+ Employees,-1,0,88925.0,Bank of America, NC
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",5001 to 10000 Employees,-1,0,90000.0,Copart, TX
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",51 to 200 Employees,Company - Private,0,73990.0,Interclypse Inc, MD
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",1001 to 5000 Employees,-1,0,71210.0,Nemours, FL
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",10000+ Employees,-1,0,88300.0,Aptiv, MI
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",201 to 500 Employees,Company - Private,0,237000.0,InMarket, TX
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",501 to 1000 Employees,Company - Private,0,97931.0,Radiance Technologies Inc., OH
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",1001 to 5000 Employees,-1,0,150518.0,Snowflake, CA
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",1 to 50 Employees,Company - Private,0,101835.0,KUNGFU.AI, TX
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",201 to 500 Employees,Company - Private,0,91036.0,"BEN Group, Inc", UT
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,51 to 200 Employees,Company - Private,0,110000.0,Super Dispatch,Remote
Data Scientist,$65.71 /hr (est.),-1.0,Biometric Health,,Unknown,-1,1,65.71,Biometric Health,
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,1001 to 5000 Employees,Company - Private,0,96225.0,"Vizient, Inc.",Remote
Entry level Data Science Engineer-333338,"$62,500 /yr (est.)",4.2,"I28 Technologies
4.2","Marysville, MI",1 to 50 Employees,Company - Private,0,62500.0,I28 Technologies, MI
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,1 to 50 Employees,-1,1,47.5,Archon Resources,Remote
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",201 to 500 Employees,Company - Private,0,114296.0,Locus Robotics, MA
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",10000+ Employees,-1,0,124950.0,Starbucks, WA
Data Scientist,"$101,603 /yr (est.)",3.5,"Activision
3.5","Santa Monica, CA",1001 to 5000 Employees,-1,0,101603.0,Activision, CA
"Data Scientist, CV/NLP","$129,500 /yr (est.)",3.7,"Ancestry
3.7",Remote,1001 to 5000 Employees,Company - Private,0,129500.0,Ancestry,Remote
Data Scientist,"$101,043 /yr (est.)",4.2,"Harmonia Holdings Group, LLC
4.2","McLean, VA",201 to 500 Employees,Company - Private,0,101043.0,"Harmonia Holdings Group, LLC", VA
Quantitative Researcher,"$200,000 /yr (est.)",3.9,"Belvedere Trading
3.9","New York, NY",201 to 500 Employees,Company - Private,0,200000.0,Belvedere Trading, NY
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",10000+ Employees,-1,1,29.0,Johnson & Johnson, NJ
Data Scientist,"$91,000 /yr (est.)",3.8,"Premier Inc.
3.8",Remote,1001 to 5000 Employees,-1,0,91000.0,Premier Inc.,Remote
"2023 Launchpad: Corporate Functions, FinTech & Data Science, and Market Makers","$88,925 /yr (est.)",4.0,"Bank of America
4.0","Charlotte, NC",10000+ Employees,-1,0,88925.0,Bank of America, NC
Data Scientist,"$90,000 /yr (est.)",4.0,"Copart
4.0","Dallas, TX",5001 to 10000 Employees,-1,0,90000.0,Copart, TX
Data Scientist - All Levels,"$73,990 /yr (est.)",4.5,"Interclypse Inc
4.5","Annapolis Junction, MD",51 to 200 Employees,Company - Private,0,73990.0,Interclypse Inc, MD
"Data and Evaluation Scientist, Health Equity","$71,210 /yr (est.)",3.7,"Nemours
3.7","Jacksonville, FL",1001 to 5000 Employees,-1,0,71210.0,Nemours, FL
Data Scientist,"$88,300 /yr (est.)",3.8,"Aptiv
3.8","Troy, MI",10000+ Employees,-1,0,88300.0,Aptiv, MI
Data Scientist,"$237,000 /yr (est.)",4.1,"InMarket
4.1","Austin, TX",201 to 500 Employees,Company - Private,0,237000.0,InMarket, TX
Data Scientist,"$97,931 /yr (est.)",4.2,"Radiance Technologies Inc.
4.2","Beavercreek, OH",501 to 1000 Employees,Company - Private,0,97931.0,Radiance Technologies Inc., OH
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",1001 to 5000 Employees,-1,0,150518.0,Snowflake, CA
Decision Scientist,"$101,835 /yr (est.)",4.9,"KUNGFU.AI
4.9","Austin, TX",1 to 50 Employees,Company - Private,0,101835.0,KUNGFU.AI, TX
Data Scientist (Level I - II),"$91,036 /yr (est.)",3.5,"BEN Group, Inc
3.5","Provo, UT",201 to 500 Employees,Company - Private,0,91036.0,"BEN Group, Inc", UT
"Data Scientist, Machine Learning","$114,296 /yr (est.)",5.0,"Locus Robotics
5.0","Wilmington, MA",201 to 500 Employees,Company - Private,0,114296.0,Locus Robotics, MA
Data Scientist,"$110,000 /yr (est.)",4.6,"Super Dispatch
4.6",Remote,51 to 200 Employees,Company - Private,0,110000.0,Super Dispatch,Remote
Data Scientist co op (Spring/Summer 2023),$29.00 /hr (est.),4.2,"Johnson & Johnson
4.2","Raritan, NJ",10000+ Employees,-1,1,29.0,Johnson & Johnson, NJ
Data Scientist - Virtual,"$96,225 /yr (est.)",4.2,"Vizient, Inc.
4.2",Remote,1001 to 5000 Employees,Company - Private,0,96225.0,"Vizient, Inc.",Remote
Data Mining Consultant,$47.50 /hr (est.),3.4,"Archon Resources
3.4",Remote,1 to 50 Employees,-1,1,47.5,Archon Resources,Remote
Entry Level Data Scientist - Machine Learning Algorithms - 333322,"$67,500 /yr (est.)",4.2,"I28 Technologies
4.2","Wellston, OH",1 to 50 Employees,Company - Private,0,67500.0,I28 Technologies, OH
"Machine Learning Data Scientist, Mid","$114,450 /yr (est.)",4.2,"Booz Allen Hamilton
4.2","Albuquerque, NM",10000+ Employees,-1,0,114450.0,Booz Allen Hamilton, NM
"data scientist, Operational Excellence - GSC","$124,950 /yr (est.)",3.7,"Starbucks
3.7","Seattle, WA",10000+ Employees,-1,0,124950.0,Starbucks, WA
Remote Data Scientist.People Analytics,"$101,402 /yr (est.)",3.2,"ADT
3.2","Boca Raton, FL",10000+ Employees,-1,0,101402.0,ADT, FL
Jr. Data Scientist,"$98,000 /yr (est.)",4.8,"WhirlWind Technologies, LLC
4.8",Remote,1 to 50 Employees,-1,0,98000.0,"WhirlWind Technologies, LLC",Remote
Data Scientist,"$101,937 /yr (est.)",2.9,"CyberData Technologies
2.9","Herndon, VA",51 to 200 Employees,Company - Private,0,101937.0,CyberData Technologies, VA
Data Scientist,$65.71 /hr (est.),-1.0,Biometric Health,"Jackson, MS",Unknown,-1,1,65.71,Biometric Health, MS
Jr. Data Scientist,"$87,185 /yr (est.)",3.8,"Alcon
3.8","Fort Worth, TX",10000+ Employees,-1,0,87185.0,Alcon, TX
Data Scientist,"$95,536 /yr (est.)",4.0,"Steelcase
4.0","Grand Rapids, MI",10000+ Employees,-1,0,95536.0,Steelcase, MI
Data Scientist I,"$113,021 /yr (est.)",3.2,"MAPFRE
3.2","Webster, MA",1001 to 5000 Employees,-1,0,113021.0,MAPFRE, MA
Analyst - Junior Data Scientist,"$87,500 /yr (est.)",3.9,"YES Communities
3.9","Greenwood Village, CO",1001 to 5000 Employees,Company - Private,0,87500.0,YES Communities, CO
Data Science Co-Op,"$100,657 /yr (est.)",4.2,"Bayer
4.2","Chesterfield, MO",10000+ Employees,-1,0,100657.0,Bayer, MO
Data & Applied Scientist,"$138,450 /yr (est.)",4.4,"Microsoft
4.4","Redmond, WA",10000+ Employees,-1,0,138450.0,Microsoft, WA
Data Scientist,"$150,518 /yr (est.)",4.3,"Snowflake
4.3","San Mateo, CA",1001 to 5000 Employees,-1,0,150518.0,Snowflake, CA
Data Scientist - Entry Level,"$121,209 /yr (est.)",4.4,"Lawrence Livermore National Laboratory
4.4","Livermore, CA",5001 to 10000 Employees,-1,0,121209.0,Lawrence Livermore National Laboratory, CA
Machine Learning Research Scientist - Natural Language Processing,"$180,900 /yr (est.)",4.3,"Toyota Research Institute
4.3","Los Altos, CA",201 to 500 Employees,-1,0,180900.0,Toyota Research Institute, CA
